classid;cbo;dit;fanIn;fanOut;lcom;noc;numberOfAttributes;numberOfAttributesInherited;numberOfLinesOfCode;numberOfMethods;numberOfMethodsInherited;numberOfPrivateAttributes;numberOfPrivateMethods;numberOfPublicAttributes;numberOfPublicMethods;rfc;wmc
381;9;4;0;9;6;0;0;384;75;4;41;0;0;0;4;29;17
382;8;3;1;7;15;0;2;380;44;6;38;0;0;2;6;28;13
383;42;6;6;39;1128;1;0;69;480;48;250;0;0;0;45;258;121
384;3;2;1;2;28;0;8;0;127;8;25;8;0;0;7;24;20
385;7;1;0;7;6;0;2;0;50;4;0;2;1;0;3;28;14
386;46;1;21;27;946;0;43;5;1340;44;21;8;10;8;28;567;396
387;6;3;1;5;36;0;0;38;50;9;116;0;0;0;5;28;12
388;1;5;0;1;36;0;4;61;40;9;49;0;0;0;5;14;12
389;1;7;1;0;1;0;3;12;3;2;52;0;0;3;2;2;1
390;2;6;1;1;6;0;0;386;29;4;85;0;0;0;4;11;4
391;4;1;3;1;28;0;2;0;28;8;8;2;0;0;8;16;9
392;1;6;1;0;10;0;1;11;13;5;47;1;0;0;4;5;4
393;8;6;4;5;15;2;1;386;62;6;95;0;0;1;5;21;12
394;25;2;1;24;1711;0;11;402;1200;59;8;8;2;3;15;308;138
395;2;1;2;0;3;0;2;0;15;3;23;1;0;0;3;7;4
396;2;7;1;1;28;0;1;396;55;8;102;0;0;1;8;26;18
397;5;4;4;1;300;4;1;411;1520;25;69;0;0;1;25;63;73
398;1;1;0;1;1;0;1;0;6;2;9;0;0;1;2;3;2
399;5;5;5;0;1;0;1;55;7;2;139;1;0;0;2;3;2
400;9;6;2;7;10;2;3;385;66;5;95;0;0;3;2;29;17
401;13;1;6;7;861;2;58;78;1399;42;8;3;4;4;1;329;426
402;3;8;3;1;10;0;1;69;23;5;243;1;0;0;4;8;6
403;17;1;11;9;66;0;5;0;192;12;8;5;3;0;9;86;51
404;2;3;1;1;66;0;3;95;52;12;73;2;0;0;3;28;14
405;18;2;3;15;561;1;2;5;629;34;10;2;30;0;3;263;159
406;29;2;26;3;28;2;6;28;35;8;16;0;0;5;8;15;11
407;12;1;10;2;28;0;1;0;52;8;8;1;0;0;8;21;15
408;94;4;52;50;4753;1;9;63;1607;98;177;2;11;0;76;664;344
409;13;2;5;9;36;1;9;141;139;9;35;0;0;8;9;47;36
410;22;2;1;22;91;0;3;68;343;14;33;1;0;0;3;107;117
411;15;2;4;11;91;0;6;45;286;14;4;0;0;0;12;120;89
412;5;2;1;4;91;0;5;95;107;14;68;3;0;0;5;53;27
413;3;7;1;2;6;0;0;387;14;4;101;0;0;0;2;12;4
414;6;1;1;5;231;1;11;0;275;22;25;0;0;0;18;83;62
415;5;2;1;5;21;0;1;68;57;7;33;0;0;0;4;16;27
416;4;1;2;2;1;2;6;12;15;2;16;0;0;4;0;7;4
417;3;1;0;3;10;0;3;14;26;5;11;0;0;3;5;8;13
418;4;3;1;4;78;0;6;95;76;13;73;4;0;0;4;39;23
419;12;1;6;7;351;1;12;19;269;27;0;8;3;0;2;106;54
420;3;1;1;2;45;0;4;0;117;10;16;0;1;4;9;24;30
421;5;2;1;5;3;0;4;8;49;3;19;0;0;4;3;17;15
422;49;2;3;46;120;0;22;13;1189;16;19;11;10;11;6;265;229
423;8;2;5;3;10;1;4;28;21;5;16;0;0;4;5;12;7
424;2;2;1;1;3;0;1;68;11;3;33;0;0;0;2;4;3
425;10;2;4;7;10;0;3;3;58;5;10;0;0;3;5;28;15
426;15;6;1;14;21;0;2;423;336;7;107;0;0;2;7;132;75
427;1;4;1;0;1;0;0;4;3;2;21;0;0;0;0;2;1
428;2;2;0;2;10;0;1;54;23;5;19;0;1;1;4;16;8
429;4;1;2;3;21;0;1;3;35;7;12;1;2;0;5;17;13
430;15;1;7;8;28;3;6;0;126;8;11;5;1;1;7;56;22
431;12;5;2;10;15;1;3;397;174;6;94;0;1;3;5;74;53
432;10;3;9;1;91;0;2;40;163;14;71;1;0;1;13;17;55
433;7;3;5;3;105;0;5;95;80;15;76;3;0;0;5;43;21
434;3;3;1;2;3;0;3;1;22;3;31;3;0;0;3;6;5
435;8;2;0;8;28;0;0;2;52;8;18;0;3;0;5;34;19
436;108;1;49;93;7381;0;17;0;804;122;8;10;0;3;96;347;182
437;11;2;1;10;153;0;12;0;321;18;11;12;14;0;4;66;86
438;2;4;1;1;1;0;2;421;10;2;68;0;0;2;2;3;2
439;6;1;1;5;36;0;3;0;118;9;16;0;2;3;7;31;33
440;4;1;2;2;21;0;4;0;79;7;8;0;1;4;6;17;26
441;5;3;1;4;78;0;3;95;97;13;73;2;0;0;3;42;20
442;1;1;1;0;1;0;3;0;8;2;8;0;0;3;2;2;2
443;2;1;0;2;3;0;2;0;29;3;0;0;0;2;1;15;8
444;5;5;1;4;15;0;1;70;29;6;264;0;0;0;5;14;8
445;15;1;7;8;78;0;1;0;54;13;8;1;0;0;13;37;14
446;4;1;0;4;55;0;9;0;117;11;8;8;0;0;11;34;18
447;1;4;1;0;0;0;1;35;5;1;47;0;0;1;1;1;1
448;7;2;7;0;15;0;3;152;19;6;41;3;1;0;5;7;7
449;12;1;8;4;55;0;4;0;144;11;16;0;2;4;9;37;41
450;1;4;1;0;0;0;0;7;0;1;25;0;0;0;1;1;0
451;4;3;1;4;91;0;5;95;106;14;73;3;0;0;5;51;27
452;10;1;1;9;28;0;1;0;157;8;8;0;0;1;1;57;33
453;1;1;1;0;946;0;20;0;169;44;28;20;0;0;44;45;44
454;3;8;3;1;10;0;1;73;23;5;267;1;0;0;4;8;6
455;8;1;1;7;6;0;2;0;37;4;8;2;0;0;4;20;9
456;10;8;5;8;66;0;4;69;59;12;304;4;0;0;11;31;16
457;3;7;1;2;6;0;2;387;13;4;101;0;0;2;2;12;4
458;10;4;4;6;28;0;2;396;60;8;57;0;1;2;7;27;23
459;3;2;1;2;21;0;1;4;26;7;33;0;0;1;7;10;8
460;3;1;2;1;6;0;0;0;55;4;8;0;1;0;3;21;12
461;7;3;4;3;28;0;0;20;312;8;84;0;0;0;8;18;75
462;12;4;10;2;28;4;0;384;42;8;69;0;0;0;8;18;13
463;20;3;4;16;45;4;3;25;126;10;82;0;1;0;2;83;27
464;3;1;1;2;45;0;4;0;143;10;8;0;3;4;7;39;37
465;19;1;11;8;91;0;3;0;219;14;8;3;2;0;12;109;69
466;5;2;5;0;10;0;1;152;27;5;41;1;1;0;4;6;5
467;6;3;1;5;91;0;5;95;106;14;73;3;0;0;5;53;27
468;9;1;4;5;36;1;3;0;99;9;38;3;4;0;5;44;25
469;8;1;5;3;28;1;1;0;89;8;12;0;1;0;6;43;22
470;22;5;4;19;210;0;2;62;185;21;202;1;1;0;13;86;47
471;75;2;4;71;8515;0;86;295;7341;131;19;25;111;50;9;2390;1680
472;13;4;2;13;66;0;7;38;412;12;80;2;3;5;9;81;105
473;18;3;12;6;91;0;7;95;108;14;75;5;0;0;4;49;26
474;5;3;1;4;10;1;1;10;36;5;59;0;0;1;1;12;8
475;102;3;96;12;2926;8;11;41;840;77;72;3;1;8;69;290;308
476;5;3;1;4;190;0;9;95;158;20;73;5;0;0;9;74;42
477;2;6;1;1;28;0;2;405;56;8;100;0;0;2;8;26;18
478;3;1;2;1;21;0;4;0;71;7;8;0;1;4;6;11;22
479;5;1;4;1;3;0;1;0;12;3;8;0;0;1;3;7;3
480;18;2;1;17;780;0;9;0;1248;40;11;5;35;3;5;405;316
481;4;2;2;2;6;0;4;0;25;4;21;4;0;0;3;7;6
482;4;3;2;2;36;0;1;95;31;9;75;1;0;0;1;19;9
483;14;4;1;13;28;0;2;410;128;8;66;0;0;2;8;54;33
484;2;2;1;1;3;1;0;2;10;3;33;0;0;0;2;5;3
485;4;8;2;3;21;0;4;69;41;7;234;4;0;0;6;17;10
486;0;2;0;0;10;2;0;0;15;5;13;0;0;0;3;7;5
487;16;1;3;14;210;0;9;0;354;21;8;0;18;9;3;163;112
488;11;5;1;11;36;0;1;71;68;9;279;0;0;1;7;41;18
489;19;4;4;15;120;3;8;384;337;16;77;0;0;7;16;119;100
490;2;1;2;0;10;6;1;0;15;5;8;1;0;0;5;5;5
491;6;1;2;4;1378;4;5;0;423;53;8;3;20;1;33;241;117
492;6;1;6;0;10;2;5;0;0;5;8;0;0;0;5;5;0
493;13;2;1;12;136;0;12;0;123;17;32;12;2;0;14;53;40
494;9;1;7;2;66;0;4;0;78;12;8;0;0;4;12;21;25
495;6;2;4;3;66;0;3;95;53;12;68;2;0;0;3;30;14
496;20;5;10;11;28;4;2;384;105;8;87;0;0;2;6;55;37
497;10;6;1;9;15;0;2;415;226;6;117;0;0;2;6;87;53
498;4;3;1;3;3;0;2;1;15;3;31;2;0;0;3;8;4
499;14;1;6;8;10;0;39;0;80;5;8;3;2;36;3;29;15
500;21;3;0;21;28;1;1;34;124;8;78;1;2;0;1;78;38
501;3;5;1;2;6;0;0;34;28;4;87;0;0;0;1;13;10
502;22;5;14;9;28;6;1;384;63;8;87;0;0;1;7;30;19
503;8;1;3;5;136;1;21;0;127;17;8;1;0;0;1;31;34
504;14;5;1;13;28;0;2;412;253;8;94;0;0;2;8;73;58
505;19;1;18;1;231;0;20;0;95;22;8;0;1;0;21;48;34
506;13;3;2;11;21;0;1;25;57;7;82;0;0;0;3;31;14
507;16;2;11;5;666;0;9;28;485;37;30;0;1;9;24;169;131
508;4;2;4;0;66;0;1;152;38;12;41;1;1;0;11;14;12
509;20;6;9;12;105;0;6;61;186;15;207;1;0;4;14;100;49
510;33;1;27;6;105;0;218;0;974;15;8;1;0;42;14;287;392
511;4;1;1;3;3;0;1;0;36;3;10;0;0;1;3;18;7
512;6;4;1;5;15;0;4;61;146;6;45;0;0;3;3;34;46
513;33;1;3;31;253;0;5;0;781;23;15;0;1;0;15;346;197
514;4;1;3;1;10;0;7;0;26;5;8;0;0;7;5;11;6
515;15;2;4;11;171;1;6;6;152;19;24;3;1;0;14;76;56
516;34;1;9;28;2278;1;33;0;1119;68;33;0;19;5;32;493;283
517;5;6;1;4;6;0;0;397;26;4;72;0;0;0;4;16;6
518;1;4;1;0;6;0;3;413;31;4;67;0;0;3;1;4;5
519;7;1;0;7;1;0;10;0;21;2;0;8;0;2;1;28;3
520;4;2;0;4;10;0;2;0;306;5;22;2;2;0;3;222;56
521;19;2;8;11;190;3;7;18;142;20;62;0;0;0;5;85;36
522;7;2;3;4;91;0;5;5;121;14;13;2;1;0;13;72;35
523;4;3;1;3;136;0;7;95;132;17;73;4;0;0;7;62;33
524;102;2;76;29;1540;2;23;16;505;56;18;4;1;0;35;225;132
525;10;1;6;5;171;2;4;2;149;19;8;3;0;0;1;78;33
526;5;5;1;4;3;0;0;397;41;3;94;0;0;0;3;24;14
527;4;3;2;2;55;0;3;95;45;11;73;2;0;0;2;27;13
528;3;5;3;0;1;0;1;54;7;2;138;1;0;0;2;3;2
529;0;1;0;0;1;0;2;0;6;2;8;0;1;0;1;2;2
530;1;1;1;0;6;1;16;547;6;4;20;0;0;0;4;4;2
531;48;2;36;18;378;3;17;391;314;28;31;0;1;17;26;111;95
532;14;4;2;12;36;0;0;28;77;9;91;0;2;0;2;45;22
533;2;7;1;1;28;0;2;397;56;8;102;0;0;2;8;26;18
534;4;5;1;3;6;0;2;397;25;4;64;1;0;1;4;17;6
535;14;1;1;13;465;0;15;0;356;31;8;15;10;0;20;181;107
536;7;2;2;6;6;0;1;18;38;4;62;0;0;1;2;25;6
537;0;1;0;0;1;0;0;0;6;2;8;0;1;0;1;3;2
538;8;4;3;6;55;0;16;61;154;11;45;0;0;10;6;46;58
539;26;2;1;25;1770;0;7;6;402;60;67;7;4;0;55;178;124
540;25;4;11;14;210;0;3;384;431;21;69;0;2;3;19;139;138
541;18;3;2;18;28;0;2;15;149;8;17;0;4;0;0;77;29
542;44;1;6;44;1326;0;26;0;2116;52;8;15;41;10;11;794;468
543;10;4;3;8;561;0;19;99;303;34;100;8;0;0;13;151;82
544;16;1;4;13;120;0;214;201;329;16;8;0;3;6;11;108;63
545;10;3;5;6;171;0;10;95;156;19;73;6;0;0;7;73;40
546;2;1;1;1;6;0;3;0;28;4;10;2;0;0;3;12;7
547;4;1;2;2;3;0;14;0;311;3;8;14;1;0;2;15;45
548;17;5;10;7;45;2;5;56;115;10;197;0;0;5;10;22;37
549;3;7;3;1;10;1;1;69;23;5;229;1;0;0;4;9;6
550;0;1;0;0;231;0;0;0;66;22;30;0;0;0;22;22;22
551;31;1;2;29;91;0;18;0;648;14;8;17;11;1;3;138;155
552;4;3;2;2;55;3;16;380;57;11;46;0;0;10;11;25;16
553;9;3;2;8;210;0;9;97;170;21;84;4;0;0;8;88;43
554;14;1;2;12;28;2;4;0;246;8;8;1;4;1;0;53;55
555;5;2;2;3;15;0;5;9;37;6;23;5;0;0;6;13;10
556;4;1;3;1;45;1;2;0;44;10;8;0;0;0;9;19;13
557;5;8;2;4;28;0;4;70;44;8;260;4;0;0;7;19;11
558;5;4;0;5;6;3;0;61;49;4;45;0;0;0;2;24;17
559;2;2;2;0;0;1;2;5;4;1;25;1;0;1;1;1;1
560;5;6;1;4;6;0;3;397;27;4;72;1;0;2;4;17;6
561;3;1;0;3;91;0;3;0;142;14;8;3;6;0;8;59;38
562;7;5;5;2;45;2;3;8;34;10;37;0;0;0;7;13;9
563;9;2;1;8;78;0;11;0;92;13;30;11;0;0;12;39;25
564;4;3;2;2;6;0;5;388;27;4;33;0;0;5;4;8;8
565;2;1;1;1;36;0;4;0;94;9;8;0;1;4;8;23;36
566;1;4;1;0;0;0;0;3;3;1;38;0;0;0;1;1;1
567;8;4;3;6;66;1;22;61;180;12;45;0;0;15;6;56;64
568;14;1;1;14;210;0;2;0;195;21;21;0;0;0;16;77;29
569;8;3;3;5;6;0;4;150;54;4;44;0;0;4;4;14;7
570;20;4;4;16;105;1;2;384;221;15;69;0;0;2;13;89;77
571;25;4;20;9;253;1;6;49;333;23;148;0;0;6;22;101;117
572;1;1;1;0;1;1;9;0;3;2;8;0;0;0;2;2;1
573;0;5;0;0;3;3;0;384;12;3;76;0;0;0;3;3;3
574;3;3;1;2;6;0;1;10;32;4;59;1;0;0;1;16;8
575;3;2;2;1;3;0;0;84;10;3;16;0;0;0;1;5;3
576;12;4;2;10;15;0;1;28;59;6;91;0;0;0;2;27;17
577;2;1;1;1;120;0;5;0;78;16;8;2;0;0;16;39;20
578;2;1;2;0;0;0;2;0;3;1;23;1;0;0;1;1;1
579;9;1;1;8;6;0;13;0;153;4;16;1;0;12;4;25;33
580;7;1;4;3;1;0;0;0;11;2;8;0;0;0;2;9;3
581;20;1;2;20;496;0;28;0;1117;32;8;24;23;3;0;294;276
582;9;4;1;8;78;0;1;398;101;13;56;0;0;1;13;40;25
583;3;3;1;2;3;0;3;1;22;3;31;3;0;0;3;6;5
584;4;2;4;0;66;0;2;152;40;12;41;2;1;0;11;14;13
585;13;3;5;10;231;0;20;119;468;22;40;0;0;20;22;81;139
586;3;4;1;2;0;0;2;43;10;1;33;0;0;2;1;5;1
587;2;1;2;0;91;3;4;0;79;14;8;4;0;0;14;20;30
588;2;2;2;0;0;0;0;2;3;1;33;0;0;0;1;1;1
589;11;2;1;11;66;0;1;68;222;12;33;0;0;0;4;71;87
590;3;1;3;0;6;0;0;0;10;4;8;0;0;0;4;5;1
591;2;3;2;0;0;0;3;4;0;1;19;0;0;3;1;1;0
592;16;5;1;15;6;0;2;426;311;4;94;0;0;2;4;118;83
593;8;4;2;7;171;0;9;99;118;19;100;3;0;0;3;63;30
594;1;2;1;0;0;0;0;2;3;1;33;0;0;0;1;1;1
595;3;6;2;1;55;0;8;385;63;11;95;1;0;3;10;24;19
596;4;3;1;3;105;0;5;95;96;15;73;3;0;0;5;48;25
597;4;1;2;3;15;7;3;5;24;6;13;0;0;0;5;13;7
598;7;3;2;5;120;0;7;95;108;16;73;4;0;0;6;59;27
599;8;2;6;2;91;2;0;95;15;14;68;0;0;0;10;19;5
600;2;5;2;0;3;1;0;388;16;3;78;0;0;0;3;6;5
601;4;6;0;4;10;0;2;385;85;5;79;0;0;1;5;16;16
602;12;3;1;11;15;0;7;380;232;6;38;2;0;5;6;85;40
603;4;1;3;1;55;0;262;0;2140;11;8;0;2;259;9;281;480
604;6;1;3;3;1;0;1;0;51;2;8;1;0;0;2;18;11
605;4;3;1;3;15;1;3;2;51;6;19;1;1;0;5;20;14
606;26;2;22;4;10;22;1;95;48;5;68;1;0;0;2;17;10
607;9;2;5;5;153;0;8;95;121;18;68;5;0;0;8;61;31
608;3;6;1;2;3;0;0;394;23;3;107;0;0;0;3;11;9
609;4;4;2;3;21;1;1;52;30;7;127;0;0;1;4;15;11
610;29;2;2;28;120;0;5;28;282;16;25;1;3;4;7;106;60
611;5;1;2;3;55;0;5;0;78;11;8;0;0;4;11;24;23
612;4;2;3;1;10;3;2;2;15;5;14;0;0;0;2;6;5
613;3;5;3;0;10;0;2;8;12;5;33;0;0;0;3;6;4
614;13;5;0;13;36;0;9;412;445;9;94;0;0;9;9;142;141
615;7;3;0;7;15;0;1;2;38;6;17;1;0;0;6;22;8
616;4;6;1;3;3;0;1;394;38;3;107;0;0;1;3;16;14
617;4;2;1;3;15;0;5;0;28;6;24;5;0;0;5;11;8
618;20;5;2;18;231;4;10;384;547;22;85;0;0;7;22;197;168
619;13;2;1;13;10;0;0;18;141;5;62;0;0;0;2;66;31
620;11;1;5;9;21;0;2;0;128;7;8;1;1;0;6;59;20
621;17;5;11;6;276;0;10;9;193;24;42;0;0;0;20;54;56
622;13;5;1;12;10;1;5;392;142;5;93;0;0;5;4;65;49
623;13;2;6;8;435;2;12;3;392;30;30;2;5;0;18;133;112
624;58;1;25;40;2080;0;182;0;1058;65;0;2;11;0;54;413;217
625;13;3;1;12;66;0;14;1;1081;12;40;14;0;0;11;352;258
626;15;1;12;3;45;5;3;0;67;10;8;0;0;3;9;15;14
627;4;2;2;2;66;0;3;95;63;12;68;2;0;0;3;32;17
628;6;3;1;5;36;0;3;135;123;9;67;0;0;3;2;26;34
629;14;7;3;13;91;1;0;69;81;14;229;0;0;0;11;59;23
630;9;2;4;5;78;1;4;402;193;13;8;0;1;3;7;34;53
631;16;2;1;15;153;0;2;133;638;18;46;2;1;0;2;220;113
632;47;1;34;13;528;9;1;151;1500;33;8;0;0;0;33;2062;898
633;30;4;6;25;528;1;3;64;356;33;162;0;1;1;25;179;103
634;5;2;3;2;28;0;2;0;35;8;16;2;0;0;8;16;15
635;46;2;15;38;741;0;11;47;644;39;32;6;9;5;28;285;172
636;12;5;1;11;78;0;0;67;127;13;194;0;2;0;7;77;27
637;2;5;2;0;1;0;1;54;7;2;143;1;0;0;2;3;2
638;6;6;0;6;28;1;3;385;110;8;79;0;0;1;8;25;35
639;0;1;0;0;0;5;129;282;0;0;8;9;0;43;0;0;0
640;20;1;4;16;378;0;17;0;560;28;8;3;6;9;6;246;142
641;9;2;0;9;21;0;3;19;144;7;15;0;2;2;0;49;20
642;7;3;2;6;153;0;5;95;123;18;73;3;1;0;6;60;31
643;10;2;1;9;45;1;5;18;155;10;18;0;0;0;10;77;37
644;17;1;1;16;15;0;2;12;140;6;11;0;2;2;4;55;31
645;19;2;1;18;55;0;10;17;240;11;19;6;3;2;6;109;48
646;11;2;1;10;6;0;5;12;44;4;31;0;0;0;4;27;12
647;6;2;2;4;15;1;5;1;50;6;12;0;0;5;6;18;12
648;7;2;1;7;55;0;3;0;48;11;13;2;5;0;4;31;15
649;13;2;1;13;351;0;0;4;747;27;44;0;0;0;2;249;291
650;2;1;2;0;1;0;13;0;42;2;8;0;0;13;2;2;10
651;10;1;3;7;10;1;3;0;64;5;8;0;0;3;0;39;18
652;12;2;2;10;153;0;10;9;370;18;10;8;13;2;5;110;75
653;5;2;1;5;105;0;5;95;109;15;68;3;0;0;6;56;28
654;2;3;1;1;1;0;0;387;12;2;32;0;0;0;2;7;4
655;17;5;4;13;253;4;3;412;1782;23;94;0;0;3;22;498;418
656;6;1;4;2;45;3;0;0;18;10;8;0;0;0;8;13;6
657;4;7;3;2;15;1;1;69;26;6;298;1;0;0;5;12;7
658;8;2;1;8;6;0;0;18;41;4;62;0;0;0;2;29;8
659;5;1;2;3;3;0;32;0;155;3;8;0;1;15;2;59;52
660;15;4;8;10;351;0;10;49;533;27;148;0;0;10;25;143;150
661;8;4;1;7;15;0;3;384;142;6;69;0;0;3;6;44;38
662;2;5;0;2;6;0;1;69;13;4;54;1;0;0;2;8;4
663;1;1;1;0;120;1;12;0;105;16;15;0;0;0;16;40;27
664;1;1;1;0;0;0;0;0;3;1;8;0;0;0;0;3;1
665;7;2;1;6;21;0;0;28;57;7;25;0;0;0;3;17;8
666;3;6;0;3;15;0;0;415;39;6;93;0;0;0;6;16;10
667;156;2;129;36;81003;1;5;4;6571;403;13;4;16;1;387;2603;1033
668;3;2;3;0;3;0;1;0;12;3;10;0;0;1;3;8;3
669;9;3;1;8;21;0;1;388;222;7;33;0;3;1;4;47;74
670;27;1;5;23;3160;0;39;35;3184;80;8;19;39;20;32;752;764
671;8;3;8;0;15;3;3;4;18;6;19;0;0;0;3;6;6
672;3;5;2;1;3;0;1;53;10;3;134;1;0;0;3;5;3
673;7;1;4;4;45;1;0;0;30;10;8;0;0;0;9;20;8
674;4;3;4;0;0;1;1;6;3;1;26;1;0;0;1;1;1
675;16;2;7;9;78;0;10;4;184;13;33;4;0;3;13;36;39
676;4;2;1;3;28;0;7;0;38;8;26;7;0;0;8;15;10
677;2;1;1;1;36;0;4;0;94;9;8;0;1;4;8;24;36
678;20;1;13;7;36;0;8;0;149;9;8;2;0;6;6;54;37
679;8;1;1;7;465;0;5;39;235;31;30;0;5;5;26;82;67
680;24;6;2;22;435;3;10;387;986;30;94;0;0;10;25;334;331
681;3;2;1;2;21;0;10;3;72;7;21;7;0;3;6;32;17
682;5;8;1;4;3;0;0;388;43;3;109;0;0;0;3;15;7
683;12;5;1;11;3;0;1;67;43;3;47;0;0;1;2;25;11
684;86;1;68;25;46665;1;42;0;6017;306;8;0;4;34;290;1603;1542
685;6;3;1;5;105;0;3;95;166;15;73;2;0;0;5;76;41
686;14;3;1;13;21;0;0;22;231;7;68;0;1;0;1;74;53
687;6;1;2;5;55;0;36;0;270;11;8;0;0;17;11;32;61
688;1;1;1;0;0;0;6;0;3;1;23;1;0;1;1;1;1
689;4;2;1;3;6;0;1;11;24;4;22;0;0;1;4;10;9
690;12;2;3;9;10;3;1;18;63;5;62;0;0;0;2;23;11
691;1;2;1;0;6;0;1;0;26;4;11;0;0;1;3;12;6
692;4;8;2;2;21;0;6;388;67;7;109;1;0;1;7;25;16
693;2;2;1;1;3;0;2;2;12;3;33;2;0;0;3;4;3
694;2;1;1;1;6;0;3;0;44;4;8;0;1;3;3;10;14
695;15;3;2;13;91;0;4;15;128;14;70;4;0;0;1;46;43
696;3;3;1;2;3;0;3;1;21;3;31;3;0;0;3;5;5
697;6;1;5;1;3;0;6;0;11;3;8;1;0;2;3;5;3
698;6;6;1;5;55;0;3;398;75;11;99;0;0;3;11;29;20
699;2;3;1;1;3;0;1;32;10;3;21;0;0;1;3;6;3
700;6;1;1;5;136;0;12;114;212;17;8;10;1;0;16;69;45
701;11;3;5;6;78;3;1;95;53;13;75;0;0;1;9;25;15
702;5;1;3;2;15;0;2;2;21;6;10;2;0;0;6;9;8
703;0;4;0;0;1;0;1;43;7;2;33;0;0;1;2;2;3
704;2;2;1;1;10;0;3;0;29;5;11;3;2;0;3;6;17
705;6;3;1;5;120;0;7;95;128;16;73;4;0;0;7;64;32
706;7;5;1;6;10;0;3;69;100;5;54;0;0;3;3;31;25
707;34;3;1;33;1176;0;8;427;1189;49;96;0;2;3;16;262;166
708;5;2;4;1;21;3;1;95;24;7;68;1;0;0;5;8;7
709;2;6;2;0;0;0;2;74;7;1;56;0;0;0;1;2;1
710;4;7;1;3;36;0;2;406;76;9;115;0;0;2;8;31;22
711;8;1;1;7;45;0;15;0;166;10;8;0;0;1;5;69;43
712;3;7;3;1;10;1;1;70;23;5;255;1;0;0;4;9;6
713;33;4;11;23;190;2;0;52;312;20;141;0;0;0;14;150;94
714;36;2;7;31;703;0;27;12;909;38;36;3;10;10;24;331;148
715;0;1;0;0;0;0;1;204;0;0;8;0;0;0;0;0;0
716;10;1;5;5;78;0;0;0;235;13;8;0;3;0;10;70;68
717;18;3;11;7;120;3;2;97;61;16;84;0;0;2;9;35;17
718;4;3;1;3;78;0;4;95;75;13;73;3;0;0;4;39;19
719;3;3;1;3;66;0;3;95;72;12;73;2;0;0;3;37;19
720;10;1;4;7;36;1;6;5;75;9;13;0;0;0;9;31;23
721;11;3;0;11;15;0;5;380;163;6;38;2;0;3;6;60;32
722;125;1;82;48;5356;0;14;0;1892;104;8;13;19;1;83;632;520
723;3;3;1;2;231;0;1;19;66;22;27;0;0;1;22;25;22
724;3;1;3;0;1;0;0;0;3;2;8;0;0;0;2;2;1
725;16;2;1;16;55;0;1;68;256;11;33;0;0;0;4;60;85
726;2;1;1;1;3;0;4;0;18;3;8;4;0;0;3;8;4
727;4;5;1;3;3;0;0;397;44;3;94;0;0;0;3;21;12
728;33;1;8;28;231;0;21;0;419;22;8;7;1;14;21;168;79
729;7;3;0;7;6;0;3;19;44;4;67;0;0;3;3;21;9
730;10;3;1;9;105;0;1;50;89;15;118;0;0;0;9;39;27
731;12;3;1;11;10;0;3;19;152;5;67;0;3;3;1;58;36
732;9;4;3;6;36;2;8;61;240;9;45;0;0;7;5;53;65
733;3;7;1;2;3;0;0;384;16;3;99;0;0;0;3;10;5
734;15;1;7;8;36;0;4;0;70;9;8;1;0;0;7;40;15
735;6;2;1;5;45;0;5;0;72;10;18;0;0;5;8;39;22
736;14;3;8;7;435;0;16;95;257;30;82;9;0;0;14;117;65
737;12;6;6;6;28;2;0;384;41;8;91;0;0;0;8;18;10
738;3;1;1;2;6;0;2;0;42;4;8;0;1;2;3;11;10
739;4;6;0;4;10;0;1;385;85;5;79;0;0;1;5;16;16
740;5;1;2;3;36;0;5;0;115;9;16;0;1;4;8;24;31
741;5;3;1;5;10;0;1;12;40;5;45;1;0;0;2;17;10
742;20;3;2;19;55;0;2;408;231;11;58;2;1;0;10;79;46
743;2;3;1;1;10;0;2;387;18;5;35;2;0;0;5;9;5
744;2;1;2;0;10;0;0;0;0;5;8;0;0;0;5;5;0
745;7;3;1;7;6;0;16;37;166;4;72;0;0;7;3;34;38
746;15;1;5;10;36;0;3;0;74;9;8;3;1;0;8;37;19
747;8;4;4;4;105;0;5;97;110;15;79;3;0;0;5;58;28
748;5;3;1;5;120;0;8;95;101;16;73;5;0;0;6;54;29
749;1;1;1;0;1;0;0;0;3;2;8;0;0;0;2;2;1
750;51;4;22;34;990;0;2;63;549;45;161;0;3;0;31;243;124
751;2;1;1;1;21;0;4;0;74;7;8;0;1;4;6;11;22
752;4;2;1;3;28;0;7;0;38;8;26;7;0;0;8;15;10
753;4;1;2;2;15;1;1;0;32;6;8;0;0;1;1;10;15
754;11;5;1;10;36;2;2;413;150;9;84;0;0;2;9;49;48
755;2;2;1;1;0;0;0;2;4;1;33;0;0;0;1;2;1
756;69;4;28;51;3081;2;4;68;830;79;200;1;0;1;67;442;216
757;26;1;2;25;21;0;8;0;162;7;8;0;0;8;2;61;37
758;2;1;1;1;3;0;1;0;12;3;0;1;0;0;3;8;3
759;18;1;7;13;630;1;5;0;736;36;8;1;0;4;3;267;292
760;8;4;1;7;120;0;2;50;89;16;174;0;0;0;7;45;22
761;6;5;3;3;10;0;2;388;34;5;78;1;0;1;5;14;9
762;15;2;1;14;630;0;17;2;435;36;41;0;5;17;31;113;119
763;3;6;0;3;15;0;1;385;72;6;79;0;1;1;5;16;18
